blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,redWardsPlaced,redWardsDestroyed,redDragons,redHeralds,redTowersDestroyed,redTotalMinionsKilled,redTotalJungleMinionsKilled
1,16,3,0,1,4,0,0,0,228,61,-420,20,3,1,1,0,234,48
1,16,1,1,7,5,0,0,0,211,59,888,22,1,0,0,0,227,33
0,16,2,0,4,11,0,0,0,191,40,-3926,15,3,0,0,0,211,40
1,12,3,0,10,6,0,0,0,195,42,1711,15,0,0,0,0,203,37
1,13,6,1,7,11,0,0,0,226,47,-2320,37,2,1,1,0,207,60
1,15,4,0,6,8,1,0,0,204,59,-1900,24,2,0,1,0,215,44
0,16,3,1,4,8,0,0,0,240,54,-1634,14,5,0,0,0,220,54
1,13,4,1,7,5,0,0,0,225,47,1002,15,1,1,1,0,212,62
1,10,3,0,10,6,1,0,0,212,42,1568,19,3,0,0,0,209,54
0,16,6,0,6,8,0,0,0,221,39,-1758,20,3,1,0,0,226,48
0,20,4,0,6,8,0,1,0,206,44,-3063,18,4,1,0,0,240,55
0,13,1,0,6,8,1,0,0,181,44,-1859,12,3,0,0,0,214,59
0,39,4,0,7,11,0,0,0,197,44,-1696,19,0,1,0,0,218,53
0,15,1,0,7,7,0,0,0,228,24,-986,36,2,0,0,0,237,46
0,14,1,1,5,3,0,0,0,216,48,822,13,1,1,1,0,229,55
1,20,2,1,7,9,0,0,0,218,49,-369,14,6,1,0,0,200,44
1,14,2,0,8,3,0,0,0,195,68,1255,13,0,0,0,0,247,33
1,18,5,0,5,4,0,0,0,247,62,317,35,5,1,0,0,254,52
0,12,2,0,1,9,0,0,0,189,48,-7285,15,2,1,0,1,251,60
1,15,3,1,9,6,1,0,0,222,57,1909,22,2,0,0,0,231,34
1,95,10,0,6,4,0,0,0,213,60,1446,59,2,1,0,0,218,59
1,19,2,1,5,4,1,0,0,210,64,917,15,1,0,0,0,218,55
1,16,4,1,7,3,1,0,0,234,43,1712,17,3,0,1,0,236,51
1,17,7,1,7,4,0,0,0,224,36,1582,20,4,1,0,0,209,47
0,11,2,0,5,12,0,0,0,216,44,-2129,25,2,0,0,0,206,72
1,13,1,1,13,4,1,1,0,207,60,5240,15,0,0,0,0,220,11
1,15,2,1,4,2,0,0,0,261,49,873,15,1,1,1,0,249,61
0,12,12,1,4,8,0,0,0,203,50,-2548,33,5,1,0,0,232,62
0,21,4,1,10,5,1,0,0,257,56,3136,16,2,0,0,0,175,59
1,15,1,1,8,2,1,0,0,246,64,5082,16,0,0,0,0,226,60
1,13,3,0,4,10,0,0,0,219,69,-1867,17,1,0,0,0,202,60
0,14,0,1,7,7,0,0,0,226,56,179,18,0,0,0,0,252,44
1,24,3,0,10,5,0,0,0,197,48,1937,49,2,0,0,0,192,44
0,37,1,1,1,3,0,0,0,225,51,-520,10,13,1,0,0,228,60
1,15,4,1,9,4,1,0,0,224,52,1834,40,2,0,0,0,231,42
0,19,1,0,5,4,0,0,0,222,40,492,13,3,1,0,0,220,58
0,15,3,1,2,4,0,0,0,214,64,-1024,16,1,1,0,0,227,52
0,16,3,1,5,3,0,1,0,226,62,822,17,4,0,0,0,229,44
1,22,2,1,18,4,1,1,0,235,57,7482,16,0,0,0,0,144,39
1,16,2,0,2,4,0,0,0,217,60,-2168,15,4,1,0,0,221,76
1,19,2,1,8,6,0,0,0,215,36,1232,16,6,0,0,0,233,48
0,13,3,0,4,10,0,0,0,234,52,-3102,17,4,1,0,0,235,51
1,16,2,0,8,9,0,0,1,224,52,321,17,3,0,0,0,215,44
1,19,5,1,9,8,1,0,0,237,51,506,15,4,0,0,0,239,44
1,19,5,0,6,5,0,0,0,222,44,709,41,2,0,0,0,188,59
1,25,4,0,7,3,1,0,0,215,51,1261,98,2,0,0,0,242,56
1,17,1,1,8,3,0,0,0,218,54,1630,32,2,0,0,0,196,64
1,91,2,1,4,6,0,0,0,212,52,-46,15,2,1,0,0,229,52
0,19,3,0,3,4,1,0,0,186,58,-1190,17,4,0,0,0,206,44
0,55,5,1,2,5,1,0,0,226,55,-1488,18,4,0,0,0,234,55
0,16,1,1,6,6,0,0,0,245,56,848,12,2,0,0,0,192,52
0,14,3,0,1,7,0,0,0,202,53,-5800,12,1,1,0,1,245,74
0,13,1,0,11,11,0,0,0,213,44,981,14,1,1,0,0,197,42
1,12,0,0,4,6,0,0,0,170,56,-2642,16,2,1,0,0,258,64
0,22,4,1,4,7,0,0,0,229,56,-794,16,2,0,0,0,228,56
1,13,1,0,8,8,1,0,0,195,56,-718,13,0,0,0,0,215,61
0,11,2,0,4,7,1,0,0,200,52,-1833,48,2,0,0,0,215,48
0,45,4,0,2,5,0,0,0,237,50,-1369,16,3,0,1,0,242,57
0,32,4,1,9,6,0,0,0,239,51,2625,13,18,0,1,0,207,51
0,12,3,0,3,12,0,0,0,192,46,-2818,17,0,1,0,0,211,66
1,14,0,1,8,5,0,0,0,232,44,2450,52,2,1,0,0,174,60
1,49,1,1,8,2,1,0,1,237,48,3618,13,3,0,0,0,238,43
0,15,0,1,9,9,0,1,0,172,52,-645,15,4,1,0,0,202,48
1,21,5,1,7,2,0,0,0,207,47,3307,18,1,1,1,0,195,48
1,29,3,0,11,12,0,1,0,211,44,2457,34,5,1,0,0,175,42
0,12,2,1,6,9,0,0,0,199,48,-852,14,0,1,0,0,203,71
0,15,2,0,3,8,0,0,0,205,44,-2153,88,0,1,1,0,215,52
0,33,2,0,2,11,1,0,0,201,59,-3938,18,1,0,0,0,218,53
0,35,2,0,4,7,1,1,0,218,58,-449,19,1,0,0,0,202,60
0,10,4,0,7,11,1,0,0,205,72,273,43,1,0,0,0,191,31
0,16,2,0,7,5,1,0,0,230,43,0,15,3,0,0,0,234,44
1,15,1,0,8,10,0,1,0,201,51,-1198,18,4,1,0,0,209,49
1,21,17,1,11,6,1,1,0,201,51,3536,46,5,0,0,0,187,36
0,32,3,1,5,9,0,0,0,200,36,-1632,13,7,0,0,0,212,28
0,11,2,0,4,10,0,0,0,207,52,-3472,19,1,1,0,0,230,52
1,16,4,1,9,1,1,0,0,232,46,3497,16,1,0,0,0,223,53
0,16,0,0,1,5,0,0,0,234,49,-2489,18,1,0,0,0,253,49
0,15,2,1,5,13,0,0,0,190,65,-4197,21,0,1,0,0,228,46
0,15,2,1,6,3,1,0,0,218,42,841,18,5,0,0,0,246,53
0,15,4,0,6,4,1,0,0,216,45,742,19,2,0,0,0,255,37
0,16,3,1,9,3,0,0,0,210,56,3087,40,2,1,0,0,225,60
0,14,2,0,5,11,0,0,1,199,36,-2066,12,1,1,0,0,200,56
0,19,3,0,0,6,0,0,0,207,47,-3275,20,3,0,0,0,257,40
0,18,4,0,5,5,0,1,0,249,51,1337,15,1,0,0,0,199,64
1,14,2,1,8,4,1,0,0,194,59,1258,13,0,0,0,0,220,52
0,19,2,1,2,5,1,0,0,242,44,-1186,14,4,0,0,0,215,47
0,14,1,0,3,11,0,0,0,184,64,-5295,18,3,1,0,0,260,64
0,19,3,0,10,7,0,0,0,229,44,2086,16,5,0,0,0,189,39
0,43,3,0,5,12,0,0,0,202,35,-3909,17,5,0,1,0,228,35
1,18,3,0,5,5,1,0,0,208,54,-732,17,0,0,1,1,218,40
0,15,2,0,6,2,1,1,0,224,49,1481,15,3,0,0,0,195,64
0,14,1,0,6,7,1,1,0,202,48,-1613,17,1,0,0,0,217,58
1,16,5,1,8,5,1,1,0,187,32,2123,14,3,0,0,0,172,51
1,18,4,1,9,4,1,1,0,247,44,2756,16,3,0,0,0,208,51
0,13,4,0,5,6,0,0,0,237,38,-1091,17,5,0,0,0,226,46
1,13,3,1,6,7,1,0,0,197,44,-970,18,4,0,0,0,227,43
1,23,6,1,15,5,0,0,0,191,35,3941,19,5,0,0,0,199,40
1,17,4,1,10,5,1,0,0,226,64,3754,16,3,0,0,0,215,47
1,64,4,0,5,9,0,0,0,174,46,-3679,11,5,0,0,0,266,64
1,14,0,0,11,5,1,0,0,214,53,2998,14,3,0,0,0,203,42
1,12,3,0,4,5,1,0,0,223,44,-735,17,2,0,0,0,221,55
0,17,3,0,1,11,0,0,0,157,48,-6470,15,2,1,0,0,256,63
0,16,3,0,9,8,1,0,0,227,56,319,15,2,0,0,0,232,35
1,14,1,0,8,8,0,0,0,214,42,-1247,21,2,1,0,0,229,41
1,84,1,1,8,5,0,1,0,228,48,1179,38,1,0,0,0,225,52
0,14,7,1,5,6,0,0,0,230,48,-1285,39,3,1,1,0,236,58
1,13,4,0,4,3,0,0,0,221,54,752,23,2,1,0,0,223,52
1,20,7,0,8,5,0,0,0,247,40,2006,17,4,0,0,0,200,36
1,26,2,1,6,5,0,0,0,170,48,-902,11,4,0,0,0,227,58
1,10,1,1,7,6,1,1,0,239,62,1590,12,0,0,0,0,216,46
1,11,2,0,9,5,1,0,0,216,53,2599,15,1,0,0,0,189,47
1,14,4,1,8,1,0,1,0,221,56,4590,19,3,0,0,0,213,40
0,14,5,1,7,4,1,0,0,250,49,1207,39,3,0,0,0,234,46
0,11,3,1,4,3,1,0,0,240,56,229,13,0,0,0,0,239,60
0,15,2,0,3,5,1,0,0,231,27,-1501,17,4,0,0,0,215,47
1,14,2,0,13,7,0,0,1,216,45,3903,15,0,0,0,0,171,44
1,15,6,0,7,3,0,0,0,220,40,1709,15,2,1,0,0,203,60
0,14,5,0,5,5,1,0,0,211,56,-699,39,1,0,1,1,218,44
0,18,3,1,2,7,0,0,0,222,40,-2862,16,4,1,0,0,237,62
1,17,1,0,7,8,0,0,0,215,52,-1422,16,1,1,0,0,244,48
1,14,2,1,7,6,1,0,0,201,45,-666,14,3,0,0,0,217,55
1,36,0,1,3,2,0,0,0,252,56,991,18,3,0,0,0,222,56
0,14,3,1,1,8,0,0,0,219,51,-2177,13,2,1,1,0,197,61
1,16,4,0,6,6,1,0,0,192,54,1354,16,3,0,0,0,203,31
0,14,0,0,9,15,0,0,0,189,60,-1988,51,2,1,1,0,204,56
1,15,1,1,11,3,1,0,0,219,56,3199,37,2,0,0,0,209,41
1,17,3,0,3,3,1,0,0,230,68,639,35,2,0,1,0,215,44
1,32,4,1,8,4,1,1,0,202,45,1509,17,0,0,0,0,220,60
0,14,2,1,6,7,1,0,0,175,48,-660,44,1,0,0,0,171,37
0,16,1,0,1,8,0,0,0,191,54,-3063,47,1,1,0,0,187,40
1,41,3,1,4,8,0,0,0,221,41,-1521,19,24,1,0,0,246,50
0,14,4,0,2,6,1,0,0,228,65,-814,19,4,0,0,0,225,47
1,13,6,0,12,8,1,0,0,199,46,3024,50,2,0,0,0,176,34
1,16,2,1,8,10,1,0,0,226,34,-1147,16,6,0,0,0,210,35
1,16,5,0,3,3,0,1,0,238,52,1113,13,1,1,0,0,185,64
1,15,4,0,6,4,0,0,0,223,48,550,86,3,1,0,0,214,40
0,16,3,0,4,3,1,0,0,230,49,589,17,1,0,1,0,199,67
0,14,2,0,4,14,0,1,0,188,44,-7480,15,4,1,0,1,218,56
0,91,2,1,3,5,0,0,0,218,48,-685,16,3,0,1,0,214,64
0,15,3,0,5,7,0,0,0,182,40,-2251,18,3,1,0,0,198,60
0,24,3,1,3,2,0,1,0,205,54,401,18,6,1,0,0,209,42
0,36,2,1,3,4,0,0,0,234,53,-834,16,4,1,0,0,217,73
0,35,3,0,6,8,0,0,0,181,40,-1535,38,1,0,1,0,210,56
0,20,1,1,4,9,1,0,0,222,63,-2086,15,3,0,0,0,228,52
1,15,1,1,7,7,1,0,0,217,55,-270,11,3,0,1,0,209,52
1,19,1,1,11,1,1,0,0,225,65,4069,16,5,0,0,0,224,51
0,87,4,1,8,7,0,1,1,248,43,2171,19,4,1,0,0,217,56
0,16,1,0,3,7,0,1,1,245,52,151,41,6,1,0,0,215,40
0,19,3,1,8,3,0,1,1,225,56,4674,34,3,1,0,0,189,64
0,20,2,1,1,2,0,0,0,213,43,-961,38,2,0,1,0,235,63
1,21,2,0,4,6,0,0,0,208,59,-1089,17,4,1,0,0,208,50
1,10,3,0,12,6,0,0,0,158,43,1278,15,0,0,0,0,200,48
1,20,3,0,6,1,0,0,0,243,55,2545,15,2,0,0,0,240,56
1,16,3,0,6,11,1,0,0,191,44,-1800,23,5,0,0,0,217,47
0,18,3,0,8,6,1,0,0,190,27,-383,18,3,0,0,0,229,50
1,12,4,0,4,8,1,0,0,225,76,-420,15,2,0,0,0,207,32
0,16,3,0,3,3,0,0,0,185,50,-1033,36,2,0,0,0,217,48
0,14,4,0,2,5,1,0,0,221,52,-1860,16,5,0,0,0,210,40
0,15,4,0,4,3,0,0,0,197,53,-1487,17,3,0,0,0,235,64
0,17,5,1,5,9,0,1,0,194,44,-3214,19,3,1,0,0,239,39
0,29,5,0,6,8,0,0,0,213,68,-14,42,3,1,1,0,215,63
0,15,3,0,3,4,0,0,0,230,52,33,24,5,1,0,0,191,55
0,17,2,1,5,8,1,0,0,192,55,-1857,14,2,0,0,0,209,58
0,85,2,1,5,9,0,1,0,213,67,-1126,20,2,1,0,0,230,44
0,17,1,0,6,11,0,0,0,179,31,-4562,20,5,1,1,1,226,51
1,40,8,1,6,6,1,0,0,230,63,11,29,4,0,0,0,223,56
0,16,1,1,4,10,0,0,0,240,44,-2797,14,3,1,0,0,220,66
0,17,3,1,10,10,0,0,0,179,40,519,26,1,0,0,0,188,55
1,13,2,1,8,6,0,0,0,206,51,1192,8,1,0,0,0,217,47
1,17,4,1,5,1,1,0,0,254,76,3761,16,5,0,0,0,248,48
0,17,4,1,5,3,0,0,0,228,66,1279,19,2,1,0,0,251,52
0,17,4,1,7,7,0,0,0,214,48,-883,20,3,0,0,0,250,52
0,15,3,0,2,12,1,0,0,173,60,-4535,18,3,0,0,0,240,47
1,19,3,1,13,4,1,0,1,263,58,7242,38,4,0,1,0,168,40
0,11,2,0,3,5,0,0,0,234,47,-546,14,0,1,1,0,237,55
0,12,1,0,4,12,0,0,0,192,52,-4917,16,0,0,0,1,241,52
1,18,3,1,10,0,0,0,0,243,52,5041,15,3,0,0,0,202,57
1,13,3,0,7,5,1,0,0,249,63,2152,17,2,0,0,0,178,40
1,19,2,0,9,6,1,0,0,200,56,1783,44,4,0,0,0,183,52
1,17,0,0,9,8,0,1,0,227,56,545,14,2,1,0,0,198,40
0,10,5,0,2,10,0,0,0,197,57,-5521,19,2,1,0,0,258,52
1,15,0,1,3,4,0,0,0,184,57,-1623,14,3,1,1,0,243,65
0,12,0,0,1,8,0,0,0,173,46,-4684,13,1,1,0,0,239,44
0,33,2,1,6,5,0,0,0,203,68,-29,39,2,1,1,0,249,43
1,15,2,0,5,7,0,0,0,218,55,-1313,35,0,0,0,0,239,52
1,21,1,1,12,5,0,0,0,218,63,3210,11,5,0,0,1,184,32
1,15,1,0,14,4,0,0,1,216,57,5774,17,2,0,0,0,218,34
0,10,2,1,12,12,1,1,1,213,56,1843,13,2,0,0,0,183,43
0,15,0,0,2,3,0,0,0,187,48,-1400,13,1,1,0,0,247,52
1,21,5,1,7,5,1,0,0,238,44,1995,74,6,0,1,0,193,50
0,12,1,0,3,8,0,0,0,225,38,-1321,11,0,1,1,0,185,64
0,14,6,0,7,4,0,1,0,217,50,1904,38,6,0,0,0,200,55
0,21,4,1,5,5,1,0,0,224,43,-612,16,4,0,0,0,194,56
1,17,1,1,12,9,0,0,0,190,42,1030,12,2,0,0,0,174,48
0,18,2,1,4,12,0,0,0,189,52,-5112,17,4,1,0,0,200,46
0,14,5,1,4,7,0,0,0,236,45,-2475,19,3,0,0,0,247,64
1,23,2,1,5,3,1,0,0,245,62,1619,13,0,0,1,0,209,55
1,15,2,0,8,6,0,0,0,184,64,-538,17,2,1,1,1,198,47
1,14,3,0,2,3,1,0,0,229,55,-1558,36,3,0,0,0,255,64
0,11,1,0,4,6,0,1,0,190,56,-2781,13,1,1,0,0,204,81
1,13,2,1,9,5,0,0,1,220,36,1642,15,3,1,0,0,216,61
1,24,3,1,5,8,0,1,0,219,51,-80,16,6,1,0,0,205,40
0,14,3,0,6,7,1,0,0,194,47,-1423,19,0,0,0,0,218,56
0,14,0,0,3,11,0,0,0,171,59,-4911,43,2,1,0,0,236,53
0,19,2,1,6,12,0,1,0,203,51,-2787,20,3,1,0,0,209,42
1,17,3,1,2,0,1,0,0,240,59,865,39,5,0,0,0,252,51
1,55,1,1,4,2,0,0,0,230,60,901,14,0,1,0,0,246,60
0,16,3,0,4,9,0,1,0,208,60,-2078,16,2,1,0,0,214,44
0,19,2,0,9,9,0,0,0,187,61,-1603,20,6,1,0,0,250,48
1,14,5,0,17,6,1,0,1,251,72,6535,17,2,0,0,0,177,40
0,14,4,1,5,11,0,1,0,185,44,-2302,44,2,1,0,0,165,44
0,15,2,0,3,7,0,0,0,220,49,-2543,18,3,1,0,0,258,38
0,12,0,1,3,8,0,0,0,205,59,-1711,20,3,1,0,0,217,43
0,15,2,0,1,7,0,0,0,198,55,-3426,72,4,1,0,0,212,60
1,26,5,1,4,1,0,0,0,261,41,1169,20,5,1,0,0,232,69
1,17,2,1,6,3,1,0,0,233,60,1857,60,1,0,0,0,204,60
1,17,4,0,5,7,0,0,0,235,40,-1829,23,3,1,0,1,244,51
0,11,1,0,3,9,0,0,0,182,53,-3221,18,1,1,0,0,192,70
1,14,1,1,7,10,0,0,0,214,55,-1514,14,1,1,0,0,217,39
0,12,5,0,4,5,0,0,0,236,72,409,38,1,0,0,0,211,46
1,117,8,1,6,1,1,0,0,200,56,2083,20,6,0,0,0,221,46
0,17,3,0,2,4,0,0,0,192,37,-3826,14,3,1,0,0,250,74
1,33,1,1,9,5,0,0,0,199,43,1788,15,2,0,0,0,187,44
1,17,2,0,11,4,0,0,0,218,39,3036,10,1,0,0,0,203,40
1,13,5,0,5,5,1,1,0,236,59,-221,15,2,0,0,0,225,41
1,13,3,1,5,4,0,1,0,216,66,380,58,4,1,0,0,246,41
0,10,2,0,5,13,0,0,0,206,31,-4864,15,3,0,0,0,217,57
1,13,2,0,11,4,0,1,0,218,45,2405,16,3,1,0,0,204,45
1,16,2,1,6,10,0,0,0,191,52,-1260,19,1,1,0,0,207,49
1,17,4,1,7,9,0,0,0,182,38,-2569,15,1,0,0,0,212,70
0,45,10,1,5,7,1,0,0,216,59,-503,23,9,0,0,0,225,44
1,13,7,1,8,1,0,0,0,261,42,5189,22,1,1,0,0,194,53
0,21,5,0,3,4,0,1,0,245,53,-183,114,6,1,0,0,230,64
1,35,2,1,5,4,0,0,0,215,39,-43,11,4,0,0,0,224,54
1,41,3,1,8,10,1,0,0,174,44,-2720,19,5,0,0,0,239,79
0,17,4,1,11,4,0,1,0,225,45,2359,79,3,0,0,0,215,60
1,23,0,1,13,4,1,0,1,213,43,4887,16,5,0,0,0,207,56
1,16,4,1,10,2,1,0,0,248,69,4073,18,3,0,0,0,225,63
0,39,6,0,3,5,0,0,0,216,60,-1519,24,2,0,0,0,245,59
0,11,1,0,5,15,0,0,0,198,46,-4245,15,0,0,0,0,227,47
0,38,4,1,3,6,0,0,0,236,48,-376,14,0,1,0,0,226,48
0,12,3,0,2,8,0,0,0,221,51,-4625,15,2,1,0,0,248,56
1,11,2,1,8,6,1,0,0,216,60,1247,14,0,0,0,0,196,42
1,13,2,1,5,0,0,0,0,250,51,2712,39,2,1,0,0,215,62
1,18,2,0,4,7,0,1,0,234,48,-1972,19,6,1,0,0,223,58
0,44,3,0,5,14,0,0,0,203,39,-4136,11,6,1,0,0,222,52
0,18,1,0,5,5,0,1,0,201,53,187,15,5,0,0,0,204,45
0,14,2,0,2,6,1,0,0,170,56,-3089,18,1,0,0,0,215,47
0,12,6,1,4,5,0,1,0,225,63,266,78,2,1,0,0,224,48
0,16,4,1,6,5,0,0,0,209,44,-947,24,4,0,0,0,218,61
1,18,0,1,11,1,0,1,0,207,51,4177,35,2,0,0,0,205,54
1,14,4,1,8,4,1,0,0,210,53,2470,14,1,0,0,0,219,30
1,19,2,1,5,4,0,0,0,224,36,812,18,6,0,0,0,220,36
0,127,3,0,9,7,0,1,1,212,51,2010,52,2,1,0,0,194,48
1,50,2,0,4,3,1,0,0,218,48,938,13,1,0,0,0,178,46
0,16,1,0,5,9,0,1,0,163,50,-1337,18,2,0,0,0,190,42
0,35,3,0,3,6,1,0,0,148,62,-2967,14,2,0,0,0,223,69
0,17,0,0,6,9,0,0,0,195,41,-1567,14,7,1,0,0,216,46
1,19,4,1,9,4,0,0,0,246,48,3660,17,1,1,0,0,196,68
0,15,1,1,8,3,0,0,0,270,36,3602,12,3,1,0,0,217,62
1,16,1,1,3,5,0,0,0,226,55,329,14,1,1,1,0,203,56
1,20,4,1,5,4,0,0,0,201,44,231,21,3,0,0,0,210,44
1,13,2,1,7,2,0,1,0,218,48,2156,17,0,0,0,0,212,38
0,17,4,1,4,0,0,1,0,210,56,1378,15,5,1,0,0,259,60
0,14,1,0,3,4,0,0,0,250,48,-523,14,1,0,0,0,203,52
0,22,1,0,7,6,0,1,0,196,43,-72,16,5,0,0,0,223,44
1,42,3,0,8,13,0,0,0,194,48,-887,51,5,1,0,0,198,36
1,24,4,1,9,7,0,0,0,204,40,796,15,4,0,0,0,187,64
0,17,2,0,2,7,0,0,0,192,40,-3241,21,1,1,1,0,217,60
0,12,2,1,10,8,0,0,0,230,49,833,26,0,1,1,0,217,56
1,14,2,1,3,9,1,0,0,200,47,-2462,17,2,0,0,0,205,47
1,20,2,0,8,12,1,1,0,226,54,-2112,18,4,0,0,0,223,34
1,15,4,1,12,5,1,1,1,218,60,4634,16,0,0,0,0,217,43
1,38,4,1,9,3,0,0,1,237,59,4279,20,5,0,0,0,234,58
0,16,3,1,5,7,0,0,0,222,51,-635,15,1,1,0,0,215,56
1,34,5,1,12,5,0,0,0,237,56,4185,14,0,0,0,0,182,68
0,18,1,0,2,5,0,0,0,241,56,-1770,13,5,0,0,0,250,57
0,16,1,1,6,6,0,0,0,220,44,-750,12,2,1,0,0,242,64
0,14,2,0,2,5,0,1,0,233,54,-931,86,3,0,0,0,209,52
1,86,3,0,4,5,0,0,0,227,46,-676,17,0,1,1,0,225,56
0,16,0,0,1,10,0,1,0,207,60,-5793,16,2,1,0,0,250,60
1,21,6,0,7,4,0,0,0,226,35,1595,48,7,1,0,0,230,56
1,44,5,0,5,2,1,0,0,248,53,1936,16,4,0,0,0,230,71
0,13,5,0,4,9,0,0,0,214,56,-2173,16,7,1,0,0,212,59
1,14,4,1,8,5,1,0,0,214,54,1554,16,3,0,0,0,239,48
1,15,5,1,5,4,0,1,0,246,60,2067,17,3,1,0,0,230,40
0,13,6,1,2,5,1,0,0,211,63,-1386,39,2,0,0,0,242,55
1,12,4,0,9,2,1,0,0,256,56,4401,18,2,0,0,0,193,47
0,14,7,0,1,2,0,0,0,262,52,-13,15,1,1,0,0,232,67
0,17,1,0,6,6,0,0,0,245,72,1336,19,4,1,1,0,224,52
0,15,1,1,10,8,0,0,0,194,52,163,14,2,0,0,0,211,52
0,14,3,1,3,3,0,0,0,231,60,-1930,19,4,1,1,1,276,52
0,18,1,0,3,7,0,0,0,223,42,-960,12,3,1,0,0,240,52
0,16,2,1,5,6,0,0,1,225,44,2021,11,3,1,0,0,196,48
1,15,2,0,6,4,0,0,0,239,57,1820,12,2,1,0,0,219,58
0,15,6,0,2,3,0,0,0,240,51,265,58,3,1,1,0,201,55
0,39,7,1,6,6,0,0,0,240,28,505,17,3,1,0,0,230,53
1,37,5,1,11,6,1,0,0,204,48,2413,18,0,0,0,0,206,48
0,25,1,1,3,6,0,0,0,209,51,-1966,15,1,1,0,0,220,64
0,17,3,1,5,4,1,1,0,217,51,799,61,0,0,0,0,240,52
0,15,1,0,4,9,1,0,0,192,68,-2169,16,1,0,0,0,218,26
1,12,4,0,2,8,1,0,0,229,55,-2361,12,1,0,1,0,230,52
1,16,2,1,8,3,1,1,0,221,52,3588,45,1,0,0,0,190,52
1,16,2,1,4,4,1,0,0,234,64,-348,15,3,0,1,0,236,72
0,19,8,0,5,4,1,0,0,241,49,1457,22,2,0,0,0,205,43
1,13,1,0,6,7,1,0,0,222,48,-850,18,2,0,1,0,201,56
0,15,1,1,2,13,0,0,0,202,52,-4016,17,2,1,0,0,253,48
1,54,6,0,7,6,0,0,0,189,62,1264,17,1,1,1,0,225,46
1,15,2,1,10,2,0,0,0,201,60,4142,22,2,0,0,0,176,49
0,45,5,0,3,4,0,0,0,215,54,-279,17,3,1,0,0,244,48
1,16,3,1,7,4,1,0,0,262,48,2521,19,3,0,0,0,197,51
1,15,2,1,7,5,1,0,0,237,66,715,17,1,0,0,0,231,68
1,10,1,1,8,7,1,0,0,246,55,744,15,0,0,1,0,216,36
1,14,1,1,13,5,0,0,0,205,44,2818,14,1,0,0,0,200,56
1,22,5,0,3,2,0,1,0,253,60,2679,13,2,1,0,0,169,60
1,129,4,0,7,9,1,0,0,206,56,-1262,13,5,0,0,0,231,50
1,14,3,1,5,2,1,0,0,216,56,1074,55,1,0,0,0,211,72
0,18,7,0,6,9,0,0,0,196,64,-1814,20,5,1,0,0,231,40
1,14,0,1,12,4,0,1,2,226,44,6489,13,1,1,0,0,172,37
1,39,3,1,9,6,1,0,0,220,48,2094,16,3,0,0,0,203,40
1,16,4,1,7,6,0,0,0,206,60,-106,57,2,0,0,0,229,36
0,13,0,0,1,11,0,0,0,164,55,-7952,14,3,1,1,1,254,44
1,18,2,1,2,4,1,0,0,227,65,-1316,22,2,0,0,0,247,65
1,18,2,1,11,9,0,0,0,234,53,1713,15,3,0,0,0,179,38
0,14,2,1,7,4,1,1,0,231,48,1318,16,0,0,0,0,226,42
1,16,2,1,11,10,0,1,0,202,40,1378,15,2,0,0,0,212,52
0,20,2,1,6,8,0,0,0,207,62,-610,14,4,1,0,0,211,36
1,15,4,1,7,7,0,0,0,171,57,-560,16,1,0,0,0,209,39
0,16,2,1,5,7,0,0,0,225,63,244,15,1,1,1,0,197,60
1,13,4,1,8,4,0,0,0,206,64,2028,17,1,1,0,0,227,55
1,14,0,1,10,8,0,0,0,184,67,-44,14,4,0,0,0,224,40
1,11,1,0,5,8,1,1,0,230,68,-2069,13,1,0,0,0,239,52
1,14,2,1,8,2,0,0,0,209,49,4340,26,1,0,0,0,194,46
0,75,2,1,8,5,1,0,0,198,54,-209,15,1,0,0,0,229,52
0,15,0,0,9,7,0,0,0,220,45,612,16,1,1,0,0,223,48
0,19,2,1,7,9,0,0,0,210,40,-712,18,2,1,0,0,170,64
0,13,3,0,6,10,0,0,0,195,59,-2815,14,6,1,0,0,243,72
0,15,2,0,5,5,0,0,0,234,44,611,49,2,1,0,0,222,47
1,21,5,1,7,6,1,1,0,220,55,1358,16,4,0,0,0,211,50
0,16,3,1,6,7,0,0,0,199,48,-756,37,4,1,0,0,235,60
1,15,5,0,7,5,0,1,0,240,49,1248,21,2,1,0,0,222,58
1,19,1,0,4,2,0,0,0,234,44,457,18,2,1,0,0,250,45
1,9,1,0,4,8,0,0,0,214,47,-1917,14,1,1,0,1,198,36
1,14,1,0,5,3,0,1,1,241,46,2351,12,2,1,0,0,223,44
1,11,2,0,3,5,1,0,0,228,52,-354,61,2,0,0,0,239,43
0,14,3,0,4,9,0,0,0,192,36,-5337,17,2,1,1,1,249,56
0,19,3,1,4,9,0,1,0,233,42,-2316,18,4,0,0,0,243,40
0,14,3,0,3,10,0,0,0,212,36,-4960,15,2,1,1,0,235,54
1,35,2,1,9,3,1,1,1,232,59,3865,17,0,0,0,0,225,47
1,17,2,1,7,3,1,0,0,225,72,2506,16,5,0,0,0,220,57
0,20,5,0,2,4,0,0,0,240,58,-1156,17,5,1,0,0,240,48
0,15,2,1,8,6,0,1,0,218,60,-119,52,3,1,0,0,235,75
